node_or_edge_id,flag_id,description,resolution_applied,requires_human_review
Rose Distillate,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Tamarind Pulp,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Coriander Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Barley Water,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pomegranate (sour),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Camphor,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Aconite (atīs Var.),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Dry Ginger,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Spearmint,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cardamom,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Clove,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Fennel Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Anise Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Quince Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pomegranate Peel,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Ajwain / Carom,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Ispaghol,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pomegranate Rind (diarrhea),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Acacia Bark,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Myrrh,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Pomegranate Root Bark,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Liquorice Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Black Seed Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Long Pepper,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Fenugreek Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Gum Ammoniacum,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pine Resin,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Violet Syrup,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cubeb Pepper,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Elecampane Root,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Mullein Leaf,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Maidenhair Fern,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Flaxseed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Frankincense,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal plants'),form left as null; function/use tags applied where possible,TRUE
Borage Flower,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Cinnamon,INC-01,Node form=UNKNOWN after normalization (cat='Herbs & kitchen'),form left as null; function/use tags applied where possible,TRUE
Amber (grey),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Musk,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Pearl (purified),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Lapis Lazuli (calcined),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Camphor (cardiac),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sesame Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Mustard Seed,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Fenugreek Paste,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Castor Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Aconite (post-islah),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Colchicum (post-islah),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Henbane Seed Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Black Seed Paste,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Rose Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Lavender (stoechas),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Marjoram Oil,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Willow Bark Decoction,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar (cold Compress),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Euphorbia (post-islah),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Sulfur (purified),INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Aloe Gel,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Vinegar,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
Plantain Leaf,INC-01,Node form=UNKNOWN after normalization (cat='Medicinal'),form left as null; function/use tags applied where possible,TRUE
